experiment,8
particleCount,1000
particleMass,1.000000
volume,4000000.000000

frame,time,pressure,RMSSpeed,vXAvg,vYAvg,vZAvg
0,0.011183,0.000000,114.790211,99.820940,0.000000,0.000000,
20,0.302087,5.960231,114.790211,61.784192,-0.131440,-0.053674,
40,0.699314,63.284526,114.790211,14.029917,0.076954,-0.669815,
60,0.849359,92.478391,114.790211,0.144532,-0.460352,-0.238545,
80,0.986843,105.325086,114.790211,-15.093756,-0.294461,-1.140516,
100,1.214914,36.380227,114.790211,-37.763296,-1.022358,-0.798361,
120,1.429691,116.250908,114.790211,-37.976265,-1.932374,-0.279294,
140,1.582353,116.873158,114.790211,-33.562539,-1.439585,2.158005,
160,1.727244,120.107581,114.790211,-31.344377,-0.392628,2.537420,
180,1.874027,113.192025,114.790211,-22.267944,-0.268102,1.112932,
200,2.029672,98.978758,114.790211,-12.262070,1.716773,0.731030,
220,2.169557,92.868002,114.790211,-5.023139,1.116367,1.088512,
240,2.307435,85.648075,114.790211,3.020397,0.915697,0.323521,
260,2.449755,84.649102,114.790211,3.409914,0.508865,0.428810,
280,2.592333,83.296803,114.790211,2.961275,0.634209,0.258210,
300,2.738565,86.643800,114.790211,0.881063,0.093342,-1.208338,
320,2.881274,85.807783,114.790211,1.633192,1.324393,-0.994586,
340,3.021724,95.952050,114.790211,-4.698507,0.287352,-0.977408,
360,3.159230,98.641106,114.790211,-5.789028,-0.987819,-1.457625,
380,3.295908,102.981383,114.790211,-8.503832,-0.557261,-1.693609,
400,3.433533,92.188366,114.790211,-7.732170,-0.908383,-0.378304,
420,3.593455,101.876952,114.790211,-8.632880,-2.492257,-0.644230,
440,3.734804,104.166299,114.790211,-9.008304,-2.318828,-0.741533,
460,3.872189,100.098363,114.790211,-5.938316,-2.224443,0.487667,
480,4.007937,91.565498,114.790211,-3.520980,-1.080778,3.015008,
500,4.151592,85.620108,114.790211,1.569551,0.672824,3.485491,
520,4.290409,82.855744,114.790211,3.151466,0.784871,3.224041,
540,4.432055,81.192018,114.790211,5.300885,0.137496,3.157806,
560,4.569671,82.459078,114.790211,4.141327,0.893462,2.276301,
580,4.710894,85.901734,114.790211,4.686556,-0.001868,-0.133581,
600,4.851743,90.454878,114.790211,4.452776,1.223262,-3.395849,
620,4.992181,93.396740,114.790211,1.518943,0.624111,-2.676537,
640,5.141995,94.581920,114.790211,0.470084,0.707535,-5.019977,
660,5.283071,97.156764,114.790211,-1.708663,0.440536,-3.289941,
680,5.424822,96.744101,114.790211,-2.288425,0.599659,-2.240215,
700,5.561190,93.170002,114.790211,-1.103729,0.678143,-1.808167,
720,5.700611,92.445046,114.790211,-1.518215,-0.545649,-1.064957,
740,5.838022,91.716957,114.790211,-0.072502,0.042983,-0.423323,
760,5.974104,92.728605,114.790211,0.569517,0.635492,-0.474597,
780,6.110007,92.754203,114.790211,0.937178,-1.331584,-0.532043,
800,6.250365,84.811990,114.790211,0.030050,-0.916343,0.561236,
820,6.388989,84.056250,114.790211,1.411412,0.547158,2.070523,
840,6.530431,68.731495,114.790211,0.819452,0.443794,2.948335,
860,6.678847,88.579756,114.790211,-0.138997,1.352955,3.636729,
880,6.818452,85.672173,114.790211,0.596719,2.132076,1.734219,
900,6.956875,89.437934,114.790211,-1.842422,2.043806,1.176295,
920,7.093196,74.087101,114.790211,-0.298571,2.055878,-0.922660,
940,7.232470,92.419469,114.790211,2.097077,-0.284956,-1.946162,
960,7.372256,96.423279,114.790211,0.384743,-2.077480,-2.060351,
980,7.510449,97.525493,114.790211,-2.416416,-1.529686,-1.215640,
1000,7.646910,93.982170,114.790211,-2.747875,-1.205746,0.143055,
1020,7.785993,94.721437,114.790211,-4.147611,-0.495976,1.095402,
1040,7.925349,92.369396,114.790211,-5.097776,-0.650878,2.472047,
1060,8.065630,91.579719,114.790211,-4.128236,-2.137947,3.333213,
1080,8.209386,93.530862,114.790211,-2.003362,-2.340463,0.583452,
1100,8.348400,93.870370,114.790211,-1.887210,-2.433156,-0.832803,
1120,8.490781,92.189850,114.790211,-0.953439,-1.882277,-1.572451,
1140,8.644685,92.667238,114.790211,-1.348888,-0.107800,-0.678574,
1160,8.791970,90.960935,114.790211,0.503163,0.642969,-1.156637,
1180,8.931591,92.922760,114.790211,1.112388,-0.583156,-1.449944,
1200,9.071837,84.059888,114.790211,1.603185,-0.037304,1.629227,
1220,9.229701,50.984166,114.790211,2.388881,1.782074,2.747862,
1240,9.392156,62.945654,114.790211,1.169706,2.764225,3.062816,
1260,9.541879,81.653255,114.790211,0.172272,3.280517,4.174440,
1280,9.682667,86.785632,114.790211,-0.436237,3.289739,0.931152,
1300,9.818972,91.645993,114.790211,-0.576850,2.193596,0.210433,
1320,9.957828,91.132790,114.790211,-0.602121,3.592876,-0.967692,
1340,10.093812,91.297455,114.790211,-1.074146,2.239337,-2.041691,
1360,10.236003,93.157200,114.790211,-1.247141,2.541903,-5.426824,
1380,10.374705,81.196752,114.790211,-0.207117,1.066608,-4.166220,
1400,10.513221,91.162303,114.790211,0.965572,0.829573,-5.737326,
1420,10.654366,90.859203,114.790211,3.020699,-1.776701,-4.396336,
1440,10.795716,93.312843,114.790211,2.586390,-3.545693,0.339792,
1460,10.931293,88.474041,114.790211,3.349334,-1.396924,2.877138,
1480,11.067644,82.683108,114.790211,4.865469,0.210657,3.900553,
1500,11.208414,82.803052,114.790211,3.856474,-0.897032,5.024302,
1520,11.349929,84.615780,114.790211,1.346944,-1.310469,4.344635,
1540,11.492184,85.287118,114.790211,1.579467,-0.984207,3.192385,
1560,11.630166,93.563270,114.790211,1.036440,-1.737352,-0.063902,
1580,11.767885,92.929355,114.790211,0.701614,-2.298318,-0.856687,
1600,11.908965,93.870972,114.790211,-0.390990,-1.363427,-0.694437,
1620,12.049089,94.892828,114.790211,-1.854720,-0.569088,-0.187884,
1640,12.188753,95.033476,114.790211,-1.855540,0.435084,-1.466222,
1660,12.326580,90.861538,114.790211,-2.182311,0.570688,-1.121764,
1680,12.470480,93.144376,114.790211,-0.831565,1.092486,-0.958411,
1700,12.614508,90.218208,114.790211,-0.232350,1.141921,-1.173103,
1720,12.753876,94.881543,114.790211,-1.250658,0.753189,-1.453812,
1740,12.895113,94.400882,114.790211,-1.886446,1.006539,-0.876012,
1760,13.032861,95.152328,114.790211,-1.345668,0.699911,-2.113603,
1780,13.169195,87.320633,114.790211,-2.293403,0.889606,-1.310643,
1800,13.307071,93.867143,114.790211,-1.296476,2.020187,-1.145370,
1820,13.442238,88.144809,114.790211,0.364407,1.971459,-0.842222,
1840,13.597162,82.330667,114.790211,1.748250,2.503600,1.324846,
1860,13.737452,83.928518,114.790211,2.528760,2.234525,1.299430,
1880,13.880664,84.059961,114.790211,2.120798,1.396774,0.800493,
1900,14.019347,87.968467,114.790211,2.055737,-2.162736,-0.394116,
1920,14.162536,87.719621,114.790211,1.447192,-0.626846,-0.109945,
1940,14.304352,90.604011,114.790211,2.002786,0.750806,-0.136983,
1960,14.440484,91.063711,114.790211,2.111362,0.470493,-1.217541,
1980,14.582762,89.789510,114.790211,0.926178,0.956500,1.593400,

histogramWidth,10.000000
histogram,0,7,11,28,52,69,66,72,86,80,86,94,78,60,52,37,39,17,21,17,9,8,8,0,2,0,0,0,1
