experiment,6
particleCount,1000
particleMass,1.000000
volume,1000000.000000

frame,time,pressure,RMSSpeed,vXAvg,vYAvg,vZAvg
0,0.014367,-0.001886,115.921158,100.276230,0.014674,-0.000000,
20,0.495862,242.340462,115.921158,-13.673566,0.467361,1.121279,
40,0.830406,325.229755,115.921158,-36.291859,0.027538,1.963730,
60,0.992347,274.197183,115.921158,-24.283209,-2.399913,-0.030687,
80,1.174953,76.802975,115.921158,-4.342398,-4.138767,2.788644,
100,1.386746,209.680698,115.921158,5.947541,-3.383452,0.346489,
120,1.534523,213.807511,115.921158,7.567277,-2.632667,1.124347,
140,1.710725,190.270409,115.921158,-1.961770,-2.694335,-0.741948,
160,1.882073,237.281077,115.921158,-4.092053,2.186615,-2.245734,
180,2.025721,264.409904,115.921158,-8.945188,2.921400,0.126222,
200,2.166336,248.206815,115.921158,-6.854348,3.602273,-3.707465,
220,2.307078,275.468364,115.921158,-6.790905,1.442669,-5.869151,
240,2.445412,261.201923,115.921158,-2.397560,0.564736,-3.028899,
260,2.590407,248.877879,115.921158,0.157088,-1.074521,1.068599,
280,2.733790,242.358732,115.921158,-2.193667,-1.775436,0.959797,
300,2.881862,260.750476,115.921158,-4.447757,-0.367007,-0.422208,
320,3.022861,230.295266,115.921158,-0.419063,2.153078,1.275167,
340,3.164562,204.644505,115.921158,-0.641966,3.263639,0.522908,
360,3.307758,209.963063,115.921158,-1.160922,0.008557,0.422083,
380,3.449694,222.523085,115.921158,0.532138,-0.732315,1.239566,
400,3.593189,244.525373,115.921158,-0.161917,-0.253461,1.801146,
420,3.737632,216.330583,115.921158,2.451969,1.990380,2.554297,
440,3.881014,186.356015,115.921158,2.363606,1.404752,3.979874,
460,4.028253,230.717422,115.921158,1.501107,2.056239,3.387687,
480,4.166735,224.486106,115.921158,1.584306,1.592992,2.600608,
500,4.305860,233.917918,115.921158,2.657673,0.032572,-1.842697,
520,4.444880,240.356387,115.921158,0.153128,1.067492,-3.316021,
540,4.584299,256.081620,115.921158,-0.574296,-2.553845,-3.844148,
560,4.721239,255.082741,115.921158,1.183169,-1.757745,-2.488314,
580,4.857507,259.246635,115.921158,0.303751,0.585644,-6.236466,
600,4.995963,255.558456,115.921158,0.551115,0.241554,-3.848945,
620,5.137087,156.488836,115.921158,-0.030277,0.288328,-1.088007,
640,5.300504,190.363511,115.921158,0.797278,-1.297518,1.634011,
660,5.476401,241.333853,115.921158,-0.383758,-3.849258,2.892731,
680,5.630166,247.818871,115.921158,-3.419192,-1.443086,1.769787,
700,5.783088,209.621562,115.921158,-3.547587,-1.187048,0.714914,
720,5.948553,234.503242,115.921158,-0.100819,0.343507,1.840468,
740,6.086080,240.474138,115.921158,-0.986727,0.576916,2.408108,
760,6.229139,240.012044,115.921158,-1.434276,-0.480742,1.923336,
780,6.401507,171.633655,115.921158,-0.761613,2.134217,3.074377,
800,6.582281,221.990936,115.921158,-0.830874,2.321879,1.698376,
820,6.727878,242.764226,115.921158,-0.057562,-1.125611,3.224372,
840,6.870263,213.928224,115.921158,-0.014994,0.020276,-1.042464,
860,7.011455,254.625434,115.921158,-2.146660,0.976384,-0.743338,
880,7.155832,250.557619,115.921158,-1.768789,0.355853,0.034432,
900,7.306861,235.171445,115.921158,-0.420833,-0.230261,-0.905204,
920,7.455573,209.822784,115.921158,0.049558,0.564227,-1.495637,
940,7.597564,249.704326,115.921158,1.308613,-0.278546,-2.523831,
960,7.739151,246.057422,115.921158,1.628997,0.923916,-1.336449,
980,7.883050,224.523639,115.921158,2.149293,-0.214285,1.301206,
1000,8.020980,218.809359,115.921158,1.908765,0.983987,0.568213,
1020,8.161084,237.518322,115.921158,1.668328,1.965124,0.875390,
1040,8.307356,176.175073,115.921158,3.221056,0.262788,0.666333,
1060,8.461779,226.476914,115.921158,3.596786,2.795287,-0.144982,
1080,8.645712,211.128714,115.921158,1.205246,1.232486,-1.022944,
1100,8.804700,233.740061,115.921158,-2.178918,0.000488,-2.126721,
1120,8.954685,250.199992,115.921158,-2.029614,1.395015,-2.825091,
1140,9.098307,228.443333,115.921158,-1.445356,2.787693,-1.087280,
1160,9.240161,254.800875,115.921158,-1.343686,0.199598,-1.124295,
1180,9.378206,255.344983,115.921158,-2.278868,-1.594522,2.018777,
1200,9.515940,249.524864,115.921158,0.002011,-2.621580,2.306836,
1220,9.657559,251.356872,115.921158,0.292638,-0.963621,0.105349,
1240,9.801158,228.711107,115.921158,2.578035,0.354774,-0.861470,
1260,9.940218,253.726075,115.921158,0.364711,-1.874009,0.174324,
1280,10.082976,238.362128,115.921158,0.337644,-0.028436,-0.651353,
1300,10.224393,235.518093,115.921158,-1.664463,-1.862758,-0.765169,
1320,10.385168,220.685991,115.921158,-2.725144,-2.500035,-0.144506,
1340,10.531766,262.865842,115.921158,-3.685660,-1.978574,-1.327726,
1360,10.670064,248.940694,115.921158,0.255669,-3.058315,-0.209606,
1380,10.810758,255.872238,115.921158,-0.633253,-2.024113,-0.151188,
1400,10.947700,222.378142,115.921158,1.060806,0.036953,0.721437,
1420,11.086912,239.242552,115.921158,0.698691,1.923613,-1.510199,
1440,11.235015,215.361839,115.921158,0.823129,5.824577,0.435857,
1460,11.384746,154.159834,115.921158,1.374684,5.491944,1.502900,
1480,11.555983,234.114400,115.921158,0.829270,4.007203,1.513996,
1500,11.696058,231.433697,115.921158,-2.872118,1.519378,2.753551,
1520,11.838203,242.029339,115.921158,-2.908013,2.444468,1.197464,
1540,11.979735,198.806190,115.921158,-1.378619,2.264079,1.097411,
1560,12.119610,253.731615,115.921158,-1.504029,-0.156468,-1.530966,
