experiment,2
particleCount,2000
particleMass,1.000000
volume,1000000.000000

frame,time,pressure,RMSSpeed,vXAvg,vYAvg,vZAvg
0,0.013676,0.000000,115.053879,99.805030,0.000000,-0.000000,
20,0.781023,168.198211,115.053879,-38.102186,-2.386542,-2.885978,
40,1.462231,98.710844,115.053879,-0.388331,-1.847004,-0.749902,
60,2.062362,116.464852,115.053879,0.958402,-0.543520,-0.332298,
80,2.687328,106.141116,115.053879,-2.319050,1.432852,0.820293,
100,3.371409,108.612370,115.053879,3.033076,-1.693482,0.469274,
120,3.978417,114.874387,115.053879,-1.257824,0.884736,-0.200270,
140,4.607172,116.744423,115.053879,-0.699907,0.413479,0.998207,
160,5.201227,127.837231,115.053879,-0.470990,-2.402537,-1.502778,
180,5.779191,107.833859,115.053879,1.157690,0.824298,-0.366804,
200,6.357767,116.142692,115.053879,0.328325,2.361559,1.171991,
220,6.970926,120.152428,115.053879,-0.388845,1.012326,0.301267,
240,7.534232,118.844919,115.053879,0.753712,0.886549,-0.933710,
260,8.124239,117.181091,115.053879,1.400184,-0.954512,-0.841373,
280,8.716227,103.553846,115.053879,0.484794,-0.291040,2.344081,
300,9.332090,96.254447,115.053879,-2.583510,-1.505765,1.286872,
320,9.956244,111.993325,115.053879,1.604781,-0.071568,-1.221597,
340,10.675542,96.288405,115.053879,2.895064,0.755141,2.152885,
360,11.287533,124.900604,115.053879,-2.570206,-0.107026,-0.356150,
380,11.883658,102.320446,115.053879,0.559514,-0.487519,-1.002161,
400,12.478455,118.149932,115.053879,-1.840355,-0.707943,3.451911,
420,13.048174,117.374193,115.053879,-0.560280,2.048066,-2.033817,
440,13.647797,118.223975,115.053879,0.118890,0.657156,-1.285360,
460,14.234413,103.454335,115.053879,0.883007,0.636240,-0.754776,
480,14.854181,121.033173,115.053879,-0.590384,1.204343,0.615724,
500,15.436598,110.816971,115.053879,-0.770587,-0.311998,0.827536,
520,16.007231,108.391677,115.053879,0.767562,-0.211933,-1.236837,
540,16.611360,110.585781,115.053879,0.821739,-1.434302,3.201743,
560,17.280279,84.009171,115.053879,-0.106263,-1.546105,-0.236208,
580,18.002939,103.397077,115.053879,-3.620803,1.948099,-0.085699,
600,18.752259,97.066220,115.053879,1.221386,0.767231,2.083106,
620,19.566036,98.421953,115.053879,0.285351,1.285749,1.654239,
640,20.263543,69.814161,115.053879,0.001902,-0.724622,-0.818535,
660,20.984423,107.938944,115.053879,-1.393976,-0.886215,-2.533521,
680,21.704131,106.638417,115.053879,1.487766,-0.187494,0.608772,
700,22.373071,92.563485,115.053879,-0.980048,-0.374831,1.003905,
720,22.978239,110.825759,115.053879,-0.747077,1.464384,-2.568534,
740,23.626602,81.376960,115.053879,1.235298,-2.133029,0.213364,
760,24.319750,103.569832,115.053879,-0.094876,-1.109081,-0.711087,
780,24.964373,114.910313,115.053879,-0.528481,0.180042,0.696524,
800,25.576867,93.924232,115.053879,0.873086,2.420448,2.858705,
820,26.202689,84.433028,115.053879,-1.245835,-1.502948,-0.770430,
840,26.846311,115.598181,115.053879,0.094665,-1.868501,0.274631,
860,27.449728,116.290145,115.053879,-1.512713,2.384531,2.509959,
880,28.070450,103.082143,115.053879,0.436755,-0.634718,-2.286758,
900,28.690362,95.428321,115.053879,3.136350,2.142761,0.893559,
920,29.304688,100.729745,115.053879,-1.754075,-1.252656,-0.038042,
940,29.941414,101.753865,115.053879,0.716135,-0.301338,-1.846723,
960,30.560627,121.678034,115.053879,0.678816,-0.299805,-0.571057,
980,31.133402,115.417713,115.053879,-0.322937,-1.260314,3.902441,
1000,31.708344,105.161051,115.053879,-1.666391,0.209716,0.075532,
1020,32.312171,120.675282,115.053879,1.203859,-0.904932,-3.152118,
1040,32.894235,116.759662,115.053879,1.600751,0.340199,-1.022480,
1060,33.473949,117.195061,115.053879,-1.410620,-0.247933,0.399016,
1080,34.088488,116.135554,115.053879,-1.699401,0.105883,1.104813,
1100,34.712908,103.599886,115.053879,2.118849,2.005075,-0.195305,
1120,35.308835,100.827467,115.053879,1.603329,0.737829,-1.374068,
1140,35.930407,105.863779,115.053879,-1.107206,-0.116934,-0.629912,
1160,36.520651,109.761351,115.053879,-2.875005,-2.921143,-1.026267,
1180,37.135904,100.552666,115.053879,5.367912,0.438335,0.708936,
1200,37.736311,105.202232,115.053879,-1.365806,-1.597358,0.912445,
1220,38.364438,102.491523,115.053879,-1.237063,-0.543651,2.364315,
1240,38.967837,100.640875,115.053879,3.583944,0.936893,-0.052707,
1260,39.594749,126.242751,115.053879,-2.391785,0.451712,-2.901302,
1280,40.233319,121.196115,115.053879,-2.011732,-2.115192,1.016455,
1300,40.851364,117.206087,115.053879,2.814434,-0.688212,1.030903,
1320,41.416026,122.217469,115.053879,0.689976,-0.095297,-1.561862,
1340,42.009990,95.920478,115.053879,-1.153672,1.195048,0.145538,
1360,42.603132,119.621797,115.053879,0.981356,-1.090357,2.606245,
1380,43.197685,108.284373,115.053879,3.734405,-0.343147,-1.864692,
1400,43.788936,104.522196,115.053879,-0.921892,2.247444,0.259134,
1420,44.428485,108.489925,115.053879,-1.735901,-0.700421,2.576322,
1440,45.011607,124.559239,115.053879,-2.530747,-0.223877,-0.527939,
1460,45.600702,103.129109,115.053879,1.030994,0.869522,-3.355792,
1480,46.267725,112.919179,115.053879,0.033060,-1.507274,-1.724049,
1500,46.854475,101.935853,115.053879,-0.887992,-1.699853,3.339359,
1520,47.460867,113.201616,115.053879,-0.961600,2.103053,0.026028,
1540,48.064791,111.170173,115.053879,2.339967,1.713503,-1.489101,
1560,48.682079,109.859727,115.053879,1.173413,-1.646787,1.537141,
1580,49.258045,114.449610,115.053879,-3.133207,2.698627,1.323216,
1600,49.904179,102.902486,115.053879,2.213306,-2.696545,-0.696116,
1620,50.515818,107.661331,115.053879,2.883549,0.062842,-2.311981,
1640,51.139167,122.121518,115.053879,-2.146291,0.638506,0.319297,
1660,51.745716,99.701285,115.053879,1.514055,-0.970704,0.831387,
1680,52.458753,110.031535,115.053879,-0.478600,1.392477,1.480895,
1700,53.209013,100.004622,115.053879,-0.421868,-0.439004,-0.910092,
1720,54.007334,68.834954,115.053879,-1.709243,-0.738780,-0.776972,
