experiment,4
particleCount,2000
particleMass,1.000000
volume,4000000.000000

frame,time,pressure,RMSSpeed,vXAvg,vYAvg,vZAvg
0,0.015746,0.000251,114.897813,99.817132,-0.004900,-0.000000,
20,1.142531,34.526694,114.897813,4.617193,-0.023467,0.108717,
40,1.932969,52.565435,114.897813,-39.057242,1.172059,0.139412,
60,2.570411,45.212428,114.897813,-12.246070,0.243620,-0.422620,
80,3.160352,39.359790,114.897813,7.495524,0.733210,-2.629494,
100,3.746130,40.742719,114.897813,-1.283993,0.090480,1.571032,
120,4.369062,44.911632,114.897813,-5.466489,0.945809,-0.047598,
140,4.984752,40.153659,114.897813,-3.260540,-1.316758,2.118564,
160,5.654142,32.716853,114.897813,-1.991423,-1.561207,1.082746,
180,6.301452,44.868807,114.897813,1.833878,-2.036571,-0.609422,
200,6.890368,43.512787,114.897813,3.078846,0.970024,1.022128,
220,7.540985,41.848859,114.897813,-0.176369,-0.627320,-0.018988,
240,8.153204,45.576092,114.897813,-0.682681,-0.664952,-1.494836,
260,8.738069,38.420603,114.897813,-0.167863,-0.417881,0.812983,
280,9.347080,37.925289,114.897813,-0.925884,0.767466,0.858261,
300,9.949398,45.454318,114.897813,-1.206086,1.686310,-1.791313,
320,10.564242,38.679111,114.897813,-1.067605,0.139292,-0.847870,
340,11.186511,39.957942,114.897813,-2.519326,-0.506687,-0.147331,
360,11.774944,40.793252,114.897813,-2.736090,-1.206893,-1.825549,
380,12.418949,31.084565,114.897813,0.712638,2.510985,1.702529,
400,13.060150,42.536459,114.897813,2.103131,1.335422,-3.094461,
420,13.640641,40.513162,114.897813,3.386922,-3.848923,0.548368,
440,14.245451,45.671704,114.897813,0.708127,-1.664275,0.027712,
460,14.849720,44.350385,114.897813,-0.910297,1.075125,2.593794,
480,15.447491,43.535219,114.897813,-1.955584,1.250201,-0.367046,
500,16.061640,38.655092,114.897813,0.837872,1.188854,1.065470,
520,16.634287,44.739633,114.897813,-0.688917,0.929089,1.254278,
540,17.200821,41.964185,114.897813,-0.188259,2.322301,2.632868,
560,17.809348,40.120308,114.897813,-0.898459,2.794634,-3.303221,
580,18.429748,42.833583,114.897813,0.970776,1.588557,1.169736,
600,19.008100,46.101331,114.897813,0.027159,-0.950843,-0.387432,
620,19.596147,37.925512,114.897813,0.075153,-0.950999,0.546871,
640,20.290643,46.291490,114.897813,-2.068968,-0.112183,0.087383,
660,20.909627,39.181523,114.897813,1.159994,-0.028314,-2.385010,
680,21.529890,44.854584,114.897813,0.470686,-1.284530,1.529258,
700,22.124174,44.977166,114.897813,0.631082,-0.795475,1.737001,
720,22.736426,42.777502,114.897813,1.115243,0.376987,-0.230014,
740,23.336854,44.787317,114.897813,-0.137127,1.193649,0.279033,
760,24.017815,27.822780,114.897813,0.256719,-0.070368,0.558982,
780,24.826686,29.101716,114.897813,1.027713,-0.875746,-0.940631,
800,25.638353,29.504290,114.897813,0.925390,-2.124349,0.587027,
820,26.378989,37.734881,114.897813,-0.526660,-0.616058,0.732986,
840,27.192898,37.373410,114.897813,-1.708308,2.097178,0.319061,
860,27.953896,34.704310,114.897813,-3.286449,3.596892,0.546376,
880,28.654008,42.009582,114.897813,-1.004130,1.147133,-2.192385,
900,29.333999,37.620738,114.897813,3.035958,-1.010318,-0.438362,
920,29.939188,38.952305,114.897813,3.585501,-1.571692,1.413818,
940,30.546474,36.566217,114.897813,2.132893,0.189962,1.751049,
960,31.154240,37.732314,114.897813,-0.381508,0.874401,-0.073241,
980,31.760037,38.562691,114.897813,-2.396371,0.986249,0.543463,
1000,32.351584,38.158685,114.897813,-1.355828,0.644324,-1.550426,
1020,32.961002,44.402751,114.897813,0.577158,0.876256,-2.228406,
1040,33.552013,40.170029,114.897813,2.120254,1.569529,-0.741230,
1060,34.125282,43.980679,114.897813,1.286465,0.173586,1.450757,
1080,34.740013,38.732644,114.897813,-1.452696,-0.257772,0.625035,
1100,35.346236,32.013953,114.897813,-2.630735,0.421356,1.594129,
1120,36.076849,36.962794,114.897813,1.242145,-0.945936,-0.551553,
1140,36.696582,39.929675,114.897813,2.111181,-0.812473,0.248300,
1160,37.288690,43.353045,114.897813,3.440024,-0.018570,0.695392,
1180,37.922618,37.769353,114.897813,1.296109,0.310212,-1.004141,
1200,38.512447,36.192085,114.897813,-0.116551,-0.151801,1.983796,
1220,39.134526,42.977199,114.897813,-1.940545,-1.790733,0.772736,
1240,39.791572,39.815539,114.897813,-0.874427,-2.885303,-1.102331,
1260,40.388991,45.011498,114.897813,-2.184816,-2.487603,1.183842,
1280,41.005506,44.278995,114.897813,2.039051,2.178484,-1.383091,
1300,41.576724,42.580084,114.897813,0.103449,1.037504,-2.128252,
1320,42.161649,45.403587,114.897813,-1.366643,2.307379,-1.906490,
1340,42.797751,38.114923,114.897813,-0.858219,2.168872,0.742311,
1360,43.405125,42.645703,114.897813,0.806021,2.183341,0.818988,
1380,44.025480,43.918152,114.897813,1.048059,0.147845,3.220814,
1400,44.666448,46.132205,114.897813,-1.831768,-2.599586,-0.139468,
1420,45.275169,45.714114,114.897813,-3.648254,-1.091749,-1.862031,
1440,45.893798,44.680647,114.897813,-2.595005,0.378460,-0.512696,
1460,46.512234,32.408261,114.897813,0.641276,-0.475170,-1.165111,
1480,47.167493,37.550762,114.897813,-0.040598,-0.142604,1.991643,
1500,47.799656,40.367055,114.897813,-0.595704,1.443153,-0.861272,
1520,48.413466,43.824842,114.897813,1.808604,-0.774546,1.058935,
1540,49.021446,38.889793,114.897813,-0.401812,-0.990100,-0.633367,
1560,49.614358,46.753790,114.897813,-3.314206,-2.331368,-0.181410,
1580,50.223122,39.704624,114.897813,-0.251061,-1.106548,2.052624,
1600,50.849367,42.315452,114.897813,3.386381,2.593073,0.557835,
1620,51.442455,40.641005,114.897813,1.926747,2.422842,1.766293,
1640,52.030827,44.368581,114.897813,2.978980,-1.049230,0.830933,
1660,52.641604,38.000454,114.897813,0.337094,0.447762,-2.322839,
1680,53.250410,41.388070,114.897813,-0.921265,-0.531652,1.090723,
1700,53.901357,39.325787,114.897813,-2.002579,-0.473348,-0.250033,
1720,54.526089,42.813082,114.897813,-0.592810,-0.455788,-0.597505,
1740,55.110895,46.916271,114.897813,1.361430,-0.906506,-3.269949,
1760,55.709814,37.653842,114.897813,3.229405,1.432412,1.377971,
1780,56.314858,35.754609,114.897813,-0.598896,-1.221357,0.186114,
1800,56.932250,41.303338,114.897813,-1.871651,-0.916042,2.486856,
1820,57.549181,35.693896,114.897813,0.568159,0.325297,0.813722,
1840,58.160913,43.511663,114.897813,1.634264,-0.256464,-1.828597,
1860,58.791765,38.015361,114.897813,1.325654,-0.163725,-0.625713,
1880,59.456375,33.806523,114.897813,-1.471690,0.554445,-0.282218,
1900,60.192105,34.535281,114.897813,-0.235796,0.632448,1.706356,
1920,60.956011,37.365499,114.897813,0.041874,1.125415,-1.950036,
1940,61.704975,34.665984,114.897813,1.669994,-1.290120,1.101233,
1960,62.418071,29.987882,114.897813,0.482169,-1.280920,-0.663509,
1980,63.141788,40.191451,114.897813,1.319745,0.255372,-0.648247,

histogramWidth,10.000000
histogram,2,13,27,59,91,112,130,153,178,171,158,179,153,149,104,98,68,49,38,10,23,14,7,7,0,4,2,1
