experiment,1
particleCount,2000
particleMass,1.000000
volume,1000000.000000

frame,time,pressure,RMSSpeed,vXAvg,vYAvg,vZAvg
0,0.010344,0.000000,115.659638,100.506465,-0.000000,-0.000000,
20,1.002955,158.286505,115.659638,-36.947098,-0.597270,0.149730,
40,1.710111,93.928965,115.659638,0.639523,1.916143,-0.988243,
60,2.450272,71.497409,115.659638,0.426991,0.713930,0.644854,
80,3.126899,102.882256,115.659638,-2.527842,-2.009028,0.815791,
100,3.807182,126.567665,115.659638,-1.536710,0.229647,-1.258369,
120,4.511435,80.355828,115.659638,-0.600100,2.088972,2.255757,
140,5.241821,103.531591,115.659638,-0.613139,-1.355891,-0.147192,
160,5.850092,114.278273,115.659638,0.158955,-0.577307,-0.022895,
180,6.454121,114.054563,115.659638,-0.581265,2.020990,2.741845,
200,7.041926,130.552740,115.659638,-0.942037,-1.151777,-1.179750,
220,7.615957,121.456913,115.659638,-1.165338,3.356638,-2.130553,
240,8.227522,97.242956,115.659638,1.993140,1.738341,0.244527,
260,8.841533,125.133809,115.659638,0.863550,-1.873559,-0.151617,
280,9.398597,127.326928,115.659638,-2.731623,0.571351,-1.877202,
300,9.969448,123.919625,115.659638,-0.576099,-2.177413,0.013243,
320,10.536581,119.054322,115.659638,-0.419790,1.915157,2.181003,
340,11.094182,120.406998,115.659638,0.609542,0.161961,-0.150951,
360,11.652930,127.732281,115.659638,-2.079077,-2.769291,0.399516,
380,12.269817,116.347234,115.659638,-0.065522,-0.288609,-1.654697,
400,12.865403,112.207713,115.659638,-0.668130,2.483180,1.122882,
420,13.459226,112.450507,115.659638,-0.964657,-2.726799,1.680167,
440,14.233458,108.939182,115.659638,0.839352,2.663270,-1.385560,
460,14.840281,105.962152,115.659638,0.812926,0.070244,-1.509101,
480,15.462180,105.367011,115.659638,-1.980663,-0.153786,2.249122,
500,16.102959,118.805981,115.659638,0.593419,-0.616912,-0.406890,
520,16.713630,100.056214,115.659638,-1.198808,2.100778,-1.793972,
540,17.388681,96.263794,115.659638,-0.746825,-2.776369,2.146081,
560,18.038287,111.735545,115.659638,0.513741,1.321760,0.256978,
580,18.640513,117.771126,115.659638,-1.983539,-0.175400,-0.054454,
600,19.211663,119.015662,115.659638,1.905918,-3.993642,1.164996,
620,19.784607,107.849420,115.659638,-1.871040,2.754110,0.546447,
640,20.381148,110.911153,115.659638,-0.011238,0.340522,-2.746261,
660,20.976380,108.599456,115.659638,-0.278081,0.214268,0.382719,
680,21.541892,121.559380,115.659638,-0.708097,0.410973,1.247186,
700,22.158108,116.503777,115.659638,0.189324,-0.947939,1.796252,
720,22.764749,125.484498,115.659638,-2.660653,-0.570076,-2.725360,
