experiment,5
particleCount,2000
particleMass,1.000000
volume,8000000.000000

frame,time,pressure,RMSSpeed,vXAvg,vYAvg,vZAvg
0,0.015410,0.000000,115.282335,99.744227,0.000000,0.000000,
20,1.106420,25.105248,115.282335,-0.695120,-0.006213,-0.192842,
40,1.793348,40.720143,115.282335,-44.160696,0.569033,-0.344810,
60,2.358525,32.721941,115.282335,-7.613113,0.985481,-0.923777,
80,2.912866,26.274302,115.282335,14.823896,0.776855,-1.501708,
100,3.493982,32.350413,115.282335,-4.185166,-0.126901,-2.240435,
120,4.040644,34.897162,115.282335,-13.608395,-1.065486,-1.647059,
140,4.597145,30.790977,115.282335,-1.622284,0.523799,-0.250222,
160,5.168000,27.774004,115.282335,5.865857,1.033982,1.217504,
180,5.758994,28.925910,115.282335,-0.022830,0.660567,3.027575,
200,6.329556,30.219682,115.282335,-2.088244,0.389576,0.124520,
220,6.909219,30.452188,115.282335,0.639856,-0.096911,-1.989999,
240,7.512090,29.013731,115.282335,-2.094749,0.464121,-2.676623,
260,8.085481,26.186790,115.282335,-1.291768,1.046910,-1.757279,
280,8.669927,30.188432,115.282335,0.409860,-0.037718,0.452320,
300,9.225835,30.353284,115.282335,1.536058,-0.716855,-0.201275,
320,9.786418,29.287956,115.282335,-0.637966,0.619346,1.606956,
340,10.351527,26.885317,115.282335,0.915911,1.119620,1.268374,
360,10.921792,29.821542,115.282335,-1.138635,1.641060,0.875806,
380,11.510872,27.187962,115.282335,-0.281514,1.479862,-1.017199,
400,12.082981,27.618037,115.282335,-0.371075,0.305211,0.224420,
420,12.638616,28.420914,115.282335,1.739260,0.044863,-0.332491,
440,13.227870,29.813194,115.282335,1.302527,-0.247564,-1.282364,
460,13.794484,28.619176,115.282335,-0.437526,-0.575143,-0.641187,
480,14.381081,29.948579,115.282335,-0.101275,0.168182,1.041795,
500,14.943706,31.067377,115.282335,-1.327180,-1.670735,0.745830,
520,15.562617,22.327648,115.282335,1.964067,-1.934166,1.874753,
540,16.165610,29.647103,115.282335,0.409118,-2.467286,-1.369168,
560,16.762097,27.813974,115.282335,-3.043358,-1.773124,-0.568100,
580,17.409002,29.164053,115.282335,0.504068,1.183957,1.575450,
600,17.966365,29.439272,115.282335,0.915031,2.304225,0.172002,
620,18.567095,28.883611,115.282335,-0.677054,2.726287,-0.064823,
640,19.255497,25.756659,115.282335,-1.364689,2.735879,-0.706236,
660,19.901014,16.978714,115.282335,0.493036,0.661283,1.155997,
680,20.668622,25.062986,115.282335,1.865777,-1.838986,2.209690,
700,21.377627,25.545113,115.282335,1.053603,-1.432983,0.318953,
720,22.110017,22.947826,115.282335,-0.424474,1.152600,1.357499,
740,22.795506,26.287565,115.282335,-2.233067,1.029245,0.666560,
760,23.456715,29.158023,115.282335,-2.089093,-1.878032,-1.468167,
780,24.049186,28.202317,115.282335,-0.355628,-2.242099,-2.108710,
800,24.642342,26.852660,115.282335,0.055084,-0.691220,-2.474131,
820,25.225288,27.782204,115.282335,1.131472,0.679742,-2.379301,
840,25.824045,29.020944,115.282335,3.048704,3.065206,-1.814924,
860,26.420999,26.320203,115.282335,1.960880,-2.041548,1.388494,
880,26.997289,29.087758,115.282335,0.473058,0.061902,3.306231,
900,27.564550,30.757583,115.282335,-2.531145,0.507046,1.380744,
920,28.174211,21.858890,115.282335,1.426675,1.637596,-0.791368,
940,28.816968,28.156972,115.282335,0.477528,0.489178,-0.304837,
960,29.410266,28.471474,115.282335,-1.975823,-2.645925,2.723840,
980,29.973426,28.832997,115.282335,0.347608,-3.018302,-0.228241,
1000,30.555638,27.435600,115.282335,-0.301416,-0.489785,-0.384233,
1020,31.139566,27.795311,115.282335,0.157458,0.830231,0.720363,
1040,31.723115,29.730403,115.282335,1.565168,1.302819,-0.445638,
1060,32.325941,27.002550,115.282335,0.910910,-0.417968,-2.244497,
1080,32.897335,31.492501,115.282335,-1.721871,-0.453547,-1.419849,
1100,33.482074,30.300124,115.282335,0.581826,1.532196,-0.893800,
1120,34.043375,30.421303,115.282335,-0.563503,-0.097499,-1.382502,
1140,34.620236,29.051547,115.282335,-1.537649,2.840326,1.627386,
1160,35.211910,24.604200,115.282335,-0.805164,0.127239,0.877594,
1180,35.806767,30.121815,115.282335,-0.484043,0.280203,-0.202871,
1200,36.383479,29.750402,115.282335,1.207762,-0.388452,0.473340,
1220,36.957704,25.635969,115.282335,1.511576,0.897220,0.446233,
1240,37.546186,29.976997,115.282335,-0.602145,-1.229493,0.835888,
1260,38.172801,18.661893,115.282335,-1.499968,0.426842,0.906651,
1280,38.787275,31.491438,115.282335,-1.557557,0.390124,-2.268272,
1300,39.390143,30.910122,115.282335,0.370187,-0.131049,-1.692300,
1320,39.968629,29.817263,115.282335,0.623195,0.292816,0.944703,
1340,40.553800,29.829111,115.282335,-1.293671,0.130298,1.194370,
1360,41.137269,30.136725,115.282335,-0.047784,-1.349295,0.936094,
1380,41.744875,30.636327,115.282335,0.123750,-0.229963,-0.453140,
1400,42.368499,25.878596,115.282335,-1.639476,2.792296,0.733979,
1420,42.951240,29.044236,115.282335,0.913102,1.544383,2.749847,
1440,43.547092,25.858795,115.282335,0.371358,2.684775,-1.101285,
1460,44.133887,30.702006,115.282335,-1.250950,-0.515686,-1.487981,
1480,44.730580,32.183658,115.282335,-1.511521,-2.571762,-1.360140,
1500,45.344122,26.242663,115.282335,-0.045331,-0.788273,1.987716,
1520,45.971993,22.439618,115.282335,0.487731,1.853040,0.802519,
1540,46.578704,27.851161,115.282335,1.635258,0.334340,-1.193135,
1560,47.286740,21.883679,115.282335,0.232176,1.123128,-2.295343,
1580,47.896491,30.549907,115.282335,-0.185416,0.192012,-0.534494,
1600,48.488086,27.425611,115.282335,-1.211719,-0.332449,0.115534,
1620,49.066079,28.783544,115.282335,0.481540,-0.824706,3.382973,
1640,49.638233,29.159002,115.282335,-0.184982,1.384705,0.894622,
1660,50.233278,29.281648,115.282335,0.798912,1.060876,-0.298448,
1680,50.824921,29.871285,115.282335,-1.181131,0.515244,-0.266751,
1700,51.407163,31.441313,115.282335,-3.595054,0.256290,-0.200589,
1720,51.998787,30.777890,115.282335,-1.353030,0.305270,0.261674,
1740,52.591955,26.261929,115.282335,-0.132201,0.083097,0.792056,
1760,53.208411,24.598743,115.282335,1.815386,1.114039,0.219670,
1780,53.941796,25.750710,115.282335,1.845304,0.285700,-2.909410,
1800,54.648400,26.270299,115.282335,1.059959,-1.874903,-1.864731,
1820,55.357211,19.452377,115.282335,-0.466692,-2.391587,-1.311002,
1840,56.096528,20.698579,115.282335,-1.698095,-0.307680,1.682226,
1860,56.822507,19.089015,115.282335,1.548948,0.402077,0.144413,
1880,57.517040,15.751810,115.282335,2.340167,0.196800,0.620750,
