experiment,7
particleCount,1000
particleMass,1.000000
volume,2000000.000000

frame,time,pressure,RMSSpeed,vXAvg,vYAvg,vZAvg
0,0.011642,0.000000,113.573975,98.490872,0.000000,0.000000,
20,0.342494,22.892660,113.573975,56.790049,-0.031073,-0.139695,
40,0.502515,89.636803,113.573975,38.636603,-0.015789,0.031217,
60,0.643262,109.372675,113.573975,23.158849,-0.507566,0.573689,
80,0.783424,131.703618,113.573975,9.934765,0.246354,0.317248,
100,0.919964,144.449705,113.573975,-5.190623,1.323862,-1.286475,
120,1.056100,111.302408,113.573975,-17.822920,-0.335417,-1.621843,
140,1.313528,72.109225,113.573975,-31.483311,-0.933918,-0.536201,
160,1.473409,181.712423,113.573975,-32.357938,-1.614377,0.952455,
180,1.609745,192.098279,113.573975,-33.489535,-0.301907,3.370922,
200,1.746052,140.969469,113.573975,-31.595626,0.612256,1.915199,
220,1.884353,132.496984,113.573975,-27.072373,0.210163,3.140513,
240,2.024637,167.739783,113.573975,-20.385926,0.321116,5.410166,
260,2.165330,165.199564,113.573975,-15.435299,0.535562,1.626495,
280,2.306823,162.066117,113.573975,-10.642828,1.207093,-0.976962,
300,2.453016,156.192721,113.573975,-6.683906,1.312906,-1.059026,
320,2.591879,119.581399,113.573975,-4.663736,0.492673,-0.938606,
340,2.731062,152.636020,113.573975,-4.044485,-0.537847,0.480430,
360,2.867578,149.086375,113.573975,-3.664479,0.932258,0.451139,
380,3.006161,135.026634,113.573975,-0.682418,2.574797,-0.362782,
400,3.145213,91.987971,113.573975,-2.945059,2.340246,-0.407704,
420,3.319134,146.414973,113.573975,-4.387603,3.390245,-1.401937,
440,3.460216,144.776343,113.573975,-4.084165,2.342433,-0.732969,
460,3.599079,143.797657,113.573975,-3.798495,2.093294,-0.092727,
480,3.740781,149.099452,113.573975,-3.060925,-0.848955,0.130456,
500,3.878536,152.252801,113.573975,-1.786644,-1.832598,-0.759490,
520,4.016467,148.292025,113.573975,-0.741174,-3.242111,0.972714,
540,4.158788,143.318106,113.573975,-0.007367,-4.513781,1.644557,
560,4.299696,150.085413,113.573975,0.076584,-3.582209,0.630309,
580,4.445431,144.574272,113.573975,-0.246551,-0.104793,1.033383,
600,4.586870,128.377872,113.573975,0.147627,2.922409,1.558638,
620,4.726216,141.492712,113.573975,-0.847446,2.825858,0.938378,
640,4.887889,122.533132,113.573975,0.006582,1.805821,1.098950,
660,5.032263,142.656947,113.573975,-0.526468,1.301100,-0.471684,
680,5.170738,143.040919,113.573975,-0.121561,0.447687,-2.886511,
700,5.310743,149.310524,113.573975,-0.142039,-2.479641,-1.796740,
720,5.476950,143.759464,113.573975,0.648366,-2.647786,-1.885135,
740,5.637224,145.066005,113.573975,0.066899,-2.292246,-2.837698,
760,5.791381,138.455276,113.573975,0.661505,-1.400856,-0.256816,
780,5.951076,137.806341,113.573975,0.067265,0.949753,-0.857860,
800,6.090390,140.477123,113.573975,0.445114,1.819691,1.190483,
820,6.250589,133.192945,113.573975,1.635065,1.105923,2.362983,
840,6.399050,90.389551,113.573975,2.142749,3.943437,1.079603,
860,6.543038,107.275849,113.573975,0.874982,2.160408,-0.095117,
880,6.681479,141.283330,113.573975,2.977605,1.729192,-0.983131,
900,6.817823,147.794105,113.573975,2.097988,-1.663231,-0.693995,
920,6.954351,146.269130,113.573975,2.566578,-2.729048,-1.682893,
940,7.098797,88.841120,113.573975,1.515246,-3.331447,-1.988147,
960,7.252455,143.779934,113.573975,2.130218,-3.402716,-0.753182,
980,7.416457,128.654468,113.573975,1.569124,1.429450,-1.161945,
1000,7.568560,130.389675,113.573975,1.713734,0.377219,-2.042982,
1020,7.710538,135.299413,113.573975,0.811968,2.722162,-0.371165,
1040,7.849917,142.213821,113.573975,-0.637196,3.155579,0.255476,
1060,7.988722,141.678694,113.573975,-0.828897,1.434457,3.241111,
1080,8.129285,142.556071,113.573975,-1.152379,-0.643569,1.944514,
1100,8.269577,148.816858,113.573975,-0.677804,-2.125984,1.438548,
1120,8.421289,64.941315,113.573975,0.853233,-1.927766,2.116415,
1140,8.599387,137.524766,113.573975,0.917099,-0.545899,-1.815451,
1160,8.756822,137.895741,113.573975,0.767291,-0.564903,-0.024285,
1180,8.919458,138.908142,113.573975,2.236379,2.392219,-0.517475,
1200,9.081183,145.761292,113.573975,-0.433181,0.728167,0.489176,
1220,9.217875,145.477038,113.573975,-1.437350,-0.155909,1.196115,
1240,9.354196,137.240413,113.573975,-0.257469,-0.380048,0.746227,
1260,9.497924,141.448406,113.573975,2.179232,-2.117823,1.022432,
1280,9.655811,106.223777,113.573975,3.473552,1.988283,-0.226942,
1300,9.831189,102.716941,113.573975,2.189855,4.475778,-0.715535,
