experiment,3
particleCount,2000
particleMass,1.000000
volume,2000000.000000

frame,time,pressure,RMSSpeed,vXAvg,vYAvg,vZAvg
0,0.011503,0.000000,117.145818,102.051595,0.000000,0.000000,
20,0.949822,69.102149,117.145818,5.859555,0.084131,-0.319993,
40,1.664316,85.798534,117.145818,-32.638262,0.281937,-0.228426,
60,2.266877,88.028885,117.145818,-16.471070,-0.670329,-0.543895,
80,2.820606,72.526820,117.145818,-1.516868,-1.257157,0.966852,
100,3.393718,75.230635,117.145818,-3.700956,0.651436,0.689269,
120,3.950416,75.696194,117.145818,-5.216473,0.377010,-0.826141,
140,4.522295,75.566659,117.145818,-1.715188,-1.138727,-0.180131,
160,5.086089,70.065309,117.145818,1.888268,-2.662995,1.195191,
180,5.675139,64.170534,117.145818,0.067355,1.855156,1.727098,
200,6.316022,71.726534,117.145818,0.549885,2.831386,0.848601,
220,6.909971,61.785585,117.145818,1.407670,-1.146929,1.020110,
240,7.474455,76.201789,117.145818,0.251234,0.050339,-0.662896,
260,8.055874,77.896697,117.145818,0.164428,-0.323269,-1.713884,
280,8.615930,78.438634,117.145818,-1.708624,-0.287853,0.733802,
300,9.164135,77.520480,117.145818,-0.953223,0.063304,-0.020412,
320,9.725135,69.416109,117.145818,-0.369266,0.441111,-1.375630,
340,10.341438,64.757621,117.145818,0.255825,-0.083234,-0.234374,
360,10.921687,55.093251,117.145818,-0.855113,-0.724640,0.922653,
380,11.516120,68.340928,117.145818,-1.633183,-1.509790,0.342499,
400,12.126289,65.976444,117.145818,1.427323,1.816053,2.682190,
420,12.689783,73.652483,117.145818,2.713036,-1.250951,0.830536,
440,13.253999,74.733677,117.145818,2.249581,0.844856,-3.323352,
460,13.847888,74.614842,117.145818,-0.363340,0.951734,0.496636,
480,14.415725,65.911602,117.145818,-1.757299,0.792731,1.265786,
500,15.040818,75.955063,117.145818,0.490727,-0.577298,-1.775955,
520,15.620651,65.274727,117.145818,0.870478,-1.505589,-0.023731,
540,16.264637,60.755882,117.145818,1.171338,1.733567,1.196362,
560,16.869757,64.460121,117.145818,-1.013354,-0.447380,-1.662416,
580,17.469201,65.076509,117.145818,-2.796878,0.822709,1.085139,
600,18.060362,70.787800,117.145818,-1.324134,-0.622163,3.616190,
620,18.650183,76.979643,117.145818,0.017773,-0.872556,-1.688557,
640,19.238452,69.202628,117.145818,-2.136871,-0.037402,-3.787670,
660,19.813658,71.000485,117.145818,2.446537,0.277006,-0.664772,
680,20.417957,71.012698,117.145818,1.331281,-1.047888,0.108200,
700,21.040877,72.948200,117.145818,1.808786,-0.862379,1.758129,
720,21.609234,63.939532,117.145818,0.501407,1.992905,0.183102,
740,22.207942,73.043971,117.145818,1.305708,-0.698889,1.332536,
760,22.791997,74.610220,117.145818,-0.285490,-0.829150,1.333729,
780,23.377941,64.318811,117.145818,-0.191777,2.525496,-1.748264,
800,23.956621,74.863557,117.145818,0.406930,0.297488,-2.006831,
820,24.590840,76.293260,117.145818,-2.346208,-0.132498,0.209949,
840,25.174212,61.786202,117.145818,-3.115826,-0.662632,0.880936,
860,25.785064,62.203427,117.145818,0.593115,1.172841,1.031674,
880,26.396012,70.022660,117.145818,0.954131,-0.881531,-1.626183,
900,26.990938,60.177449,117.145818,2.033960,1.705782,-1.025469,
920,27.584795,70.519625,117.145818,-0.555895,-0.198530,1.057837,
940,28.185913,64.326033,117.145818,-1.317242,-1.204446,0.886794,
960,28.802915,57.820985,117.145818,0.090326,1.476954,0.432906,
980,29.510922,58.455876,117.145818,1.373907,-0.090264,0.489528,
1000,30.261758,62.895587,117.145818,-1.019362,0.208875,-1.120676,
1020,30.997976,49.325592,117.145818,0.106578,0.335400,1.673993,
1040,31.685059,60.705739,117.145818,0.508085,0.543408,-0.465292,
1060,32.473741,61.079965,117.145818,1.693488,-1.011587,-0.554137,
1080,33.222766,57.601082,117.145818,0.720363,4.947545,1.849943,
1100,33.888929,75.655414,117.145818,0.886841,-3.250667,-1.087189,
1120,34.491248,76.148716,117.145818,-0.309612,-0.513578,-1.163778,
1140,35.069103,70.943943,117.145818,-1.295912,2.137861,-0.802069,
1160,35.657567,73.796141,117.145818,1.419624,-0.996364,1.299529,
1180,36.234433,75.845194,117.145818,-2.025378,-0.560871,1.533508,
1200,36.802173,71.083217,117.145818,-0.320459,2.291364,-1.143588,
1220,37.430007,61.544514,117.145818,1.642616,0.556165,-0.014547,
1240,38.010642,64.907202,117.145818,3.172488,0.061690,0.408039,
1260,38.585666,71.766449,117.145818,2.921507,-1.903467,-2.432852,
1280,39.159706,70.991386,117.145818,-0.623032,0.671358,1.271462,
1300,39.744059,76.051754,117.145818,-3.997716,-1.102109,-1.920105,
1320,40.367811,61.239298,117.145818,-0.435081,1.959316,2.058551,
1340,40.983095,74.155793,117.145818,0.916066,-1.059016,0.410899,
1360,41.572018,69.619155,117.145818,2.356055,-1.892261,-1.867308,
1380,42.198964,63.167513,117.145818,0.834390,2.171395,2.986026,
1400,42.793588,77.913489,117.145818,0.418500,-1.858906,-2.722005,
1420,43.396127,64.107955,117.145818,-0.345486,-0.040872,-1.146398,
1440,43.983174,63.275653,117.145818,-2.199618,3.403989,-0.036947,
1460,44.611475,64.353185,117.145818,-2.408633,-0.317205,1.128263,
1480,45.230049,65.742748,117.145818,-0.387602,-1.351520,-0.557816,
1500,45.896256,74.547360,117.145818,-0.089103,0.410448,-0.992284,
1520,46.515080,65.041362,117.145818,-0.247817,1.138969,0.170395,
1540,47.171501,59.566021,117.145818,0.500206,1.059476,0.611014,
1560,47.843746,67.534921,117.145818,1.859261,-3.004972,1.207082,
1580,48.451018,62.310558,117.145818,0.570795,-0.085497,-1.970174,
1600,49.098183,67.571344,117.145818,-0.642357,-0.282767,1.661935,
1620,49.678391,64.738969,117.145818,-1.094192,1.356028,2.427419,
1640,50.267754,66.287385,117.145818,-0.533616,-0.796301,0.224089,
1660,50.877081,61.835906,117.145818,-1.951169,-0.165726,1.253136,
1680,51.573558,67.648827,117.145818,-0.393289,-0.168015,-1.079224,
1700,52.174470,75.946515,117.145818,0.875908,0.646513,-3.543374,
1720,52.787251,61.566859,117.145818,0.554885,-0.101447,0.731941,
1740,53.395788,76.657126,117.145818,0.197616,-2.543855,-2.178568,
1760,53.983230,72.730019,117.145818,-2.798059,2.020732,2.224761,
1780,54.602671,74.327878,117.145818,-1.035195,-2.316010,0.715329,
1800,55.207150,64.344855,117.145818,1.070838,0.127459,0.768738,
1820,55.798853,66.012347,117.145818,1.038263,1.752739,-0.437855,
1840,56.368982,57.754121,117.145818,2.570943,0.840482,-0.151141,
1860,56.992942,57.207341,117.145818,-0.062413,-0.418205,-0.368062,
1880,57.620978,64.077219,117.145818,-1.749637,0.520845,0.567488,
1900,58.240613,63.198723,117.145818,0.264741,-0.551829,-2.092782,
1920,58.897205,70.355328,117.145818,0.334144,-0.761171,2.291579,
1940,59.507593,61.500201,117.145818,-0.417990,1.946054,0.044810,
1960,60.104591,76.352759,117.145818,-0.108568,-3.440497,-0.581595,
1980,60.696813,67.978499,117.145818,-1.409226,1.176920,-1.107997,

histogramWidth,10.000000
histogram,1,10,39,49,83,117,140,161,169,198,173,128,131,127,105,94,67,64,35,41,21,16,13,7,6,0,3,1,0,0,0,1
